ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Location_Type,Holiday_Flag,Special_Event_Flag,Previous_Day_Cash_Level,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day,Year,Month,Month_Name,Quarter,Net_Cash_Flow,Cash_Utilization_Rate,Cash_Risk
ATM_0050,2023-06-28,Wednesday,Morning,28047,10025,Supermarket,0,0,95308,Clear,0,20994,2023,6,June,2,18022,29.427750031476897,Normal
ATM_0024,2022-11-11,Friday,Afternoon,44859,5988,Mall,0,0,96774,Clear,0,40097,2022,11,November,4,38871,46.35439270878542,Normal
ATM_0047,2023-05-13,Saturday,Morning,56060,11287,Supermarket,0,0,98511,Rainy,5,59365,2023,5,May,2,44773,56.9073504481733,Normal
ATM_0031,2023-07-17,Monday,Afternoon,21218,9867,Standalone,0,0,101204,Cloudy,1,11103,2023,7,July,3,11351,20.965574483222007,Normal
ATM_0035,2023-12-08,Friday,Afternoon,86948,9038,Standalone,0,0,106030,Snowy,3,67866,2023,12,December,4,77910,82.00320663963029,Normal
ATM_0034,2023-04-08,Saturday,Morning,67142,13759,Bank Branch,0,0,115820,Snowy,0,52361,2023,4,April,2,53383,57.9709894664134,Normal
ATM_0038,2023-07-22,Saturday,Afternoon,36359,12934,Supermarket,0,0,143809,Clear,5,18531,2023,7,July,3,23425,25.28284043418701,Normal
ATM_0041,2022-03-02,Wednesday,Afternoon,35141,7168,Mall,0,1,101993,Snowy,0,40993,2022,3,March,1,27973,34.4543252968341,Normal
ATM_0033,2022-09-01,Thursday,Evening,42447,2246,Gas Station,0,0,101371,Rainy,5,43593,2022,9,September,3,40201,41.872922236142486,Normal
ATM_0037,2023-08-14,Monday,Night,36208,17749,Bank Branch,0,0,84334,Cloudy,1,25698,2023,8,August,3,18459,42.9340479521901,Normal
ATM_0007,2022-04-10,Sunday,Night,45169,14067,Standalone,0,0,75382,Cloudy,5,39961,2022,4,April,2,31102,59.9201400864928,Normal
ATM_0004,2023-11-21,Tuesday,Morning,25887,10923,Mall,0,0,105197,Snowy,0,16851,2023,11,November,4,14964,24.60811620103235,Normal
ATM_0016,2022-07-16,Saturday,Afternoon,61727,12609,Supermarket,0,0,105939,Cloudy,1,60063,2022,7,July,3,49118,58.2665496181765,Normal
ATM_0018,2023-04-19,Wednesday,Afternoon,39799,11161,Mall,0,0,105861,Clear,0,25441,2023,4,April,2,28638,37.59552620889657,Normal
ATM_0042,2023-07-08,Saturday,Morning,39284,19328,Mall,0,1,109476,Rainy,1,36840,2023,7,July,3,19956,35.8836639994154,Normal
ATM_0027,2023-05-13,Saturday,Night,35379,13935,Bank Branch,0,0,123171,Clear,1,24612,2023,5,May,2,21444,28.723481988455074,Normal
ATM_0025,2022-01-03,Monday,Night,37689,14110,Standalone,0,1,137935,Cloudy,2,28914,2022,1,January,1,23579,27.32373944249103,Normal
ATM_0028,2023-12-15,Friday,Night,36657,5920,Bank Branch,0,0,98457,Rainy,0,37577,2023,12,December,4,30737,37.23148176361254,Normal
ATM_0038,2023-07-10,Monday,Morning,55117,10065,Standalone,0,0,129070,Cloudy,4,49301,2023,7,July,3,45052,42.703184318586814,Normal
ATM_0034,2022-06-11,Saturday,Morning,59385,5714,Supermarket,0,0,78582,Rainy,0,64265,2022,6,June,2,53671,75.57074139115828,High Risk
ATM_0039,2022-03-11,Friday,Afternoon,57237,8882,Gas Station,0,0,114280,Rainy,4,37579,2022,3,March,1,48355,50.0848792439622,Normal
ATM_0039,2022-02-10,Thursday,Morning,57098,9635,Gas Station,0,0,83064,Snowy,2,58773,2022,2,February,1,47463,68.73976692670712,High Risk
ATM_0014,2023-11-17,Friday,Evening,27277,11070,Bank Branch,0,0,75085,Rainy,5,22648,2023,11,November,4,16207,36.32816141706067,Normal
ATM_0042,2022-11-04,Friday,Night,36742,10768,Standalone,0,1,101164,Clear,0,39915,2022,11,November,4,25974,36.319243999841845,Normal
ATM_0030,2023-09-29,Friday,Morning,32855,15415,Mall,0,0,121076,Snowy,1,21038,2023,9,September,3,17440,27.135848557930558,Normal
ATM_0023,2022-03-12,Saturday,Afternoon,57725,12568,Standalone,0,0,110300,Cloudy,4,54244,2022,3,March,1,45157,52.334542157751585,Normal
ATM_0046,2022-11-06,Sunday,Morning,107790,14770,Supermarket,0,0,113027,Clear,1,114724,2022,11,November,4,93020,95.36659382271493,Normal
ATM_0017,2022-04-29,Friday,Morning,38407,8815,Supermarket,0,0,90292,Snowy,4,31079,2022,4,April,2,29592,42.53643733664112,Normal
ATM_0014,2022-12-18,Sunday,Afternoon,51228,13431,Standalone,0,0,67745,Snowy,0,34641,2022,12,December,4,37797,75.61886486087535,Normal
ATM_0006,2023-10-12,Thursday,Night,42921,15444,Standalone,0,0,101285,Snowy,1,38167,2023,10,October,4,27477,42.37646245742213,Normal
ATM_0041,2022-09-26,Monday,Afternoon,33833,6348,Gas Station,0,0,104329,Cloudy,4,22905,2022,9,September,3,27485,32.42914242444574,Normal
ATM_0001,2022-04-25,Monday,Morning,82159,13169,Bank Branch,0,0,59497,Snowy,4,83492,2022,4,April,2,68990,138.08931542766862,High Risk
ATM_0036,2022-06-01,Wednesday,Night,52796,6037,Bank Branch,0,0,97705,Snowy,0,36847,2022,6,June,2,46759,54.03612916432117,Normal
ATM_0023,2022-08-04,Thursday,Afternoon,57574,14328,Mall,0,0,75994,Cloudy,4,40705,2022,8,August,3,43246,75.76124430876122,Normal
ATM_0048,2022-06-08,Wednesday,Afternoon,44982,18827,Bank Branch,0,1,108099,Rainy,3,42815,2022,6,June,2,26155,41.61185579885105,Normal
ATM_0002,2022-07-03,Sunday,Evening,81832,15162,Gas Station,0,0,69612,Rainy,2,63791,2022,7,July,3,66670,117.5544446359823,High Risk
ATM_0011,2023-12-20,Wednesday,Morning,42736,12219,Gas Station,0,0,115492,Cloudy,1,35587,2023,12,December,4,30517,37.00342880892183,Normal
ATM_0013,2023-04-17,Monday,Evening,1380,4878,Standalone,0,0,94948,Rainy,1,0,2023,4,April,2,-3498,1.4534271390655937,Normal
ATM_0002,2023-11-07,Tuesday,Afternoon,31283,7799,Gas Station,0,0,102614,Clear,2,23373,2023,11,November,4,23484,30.48609351550471,Normal
ATM_0023,2023-10-19,Thursday,Night,67447,10051,Supermarket,0,0,80369,Clear,0,47607,2023,10,October,4,57396,83.92166133708271,Normal
ATM_0017,2022-07-02,Saturday,Evening,56931,10349,Mall,0,0,92293,Cloudy,2,58803,2022,7,July,3,46582,61.685068206689564,Normal
ATM_0047,2022-11-18,Friday,Night,73790,3810,Supermarket,0,1,142660,Clear,3,91179,2022,11,November,4,69980,51.72437964390859,Normal
ATM_0037,2022-07-14,Thursday,Evening,20718,11404,Mall,0,0,87546,Clear,4,9643,2022,7,July,3,9314,23.665273113563156,Normal
ATM_0035,2023-12-05,Tuesday,Afternoon,41159,14248,Standalone,0,0,107140,Snowy,4,29906,2023,12,December,4,26911,38.41609109576255,Normal
ATM_0021,2023-11-11,Saturday,Morning,39606,14064,Standalone,0,0,112592,Cloudy,2,27873,2023,11,November,4,25542,35.17656671877221,Normal
ATM_0026,2023-12-15,Friday,Evening,61209,13051,Supermarket,0,0,99581,Cloudy,5,46483,2023,12,December,4,48158,61.46654482280757,Normal
ATM_0025,2023-11-25,Saturday,Afternoon,51759,12735,Supermarket,0,0,95956,Cloudy,4,50080,2023,11,November,4,39024,53.94034765934387,Normal
ATM_0001,2022-11-08,Tuesday,Evening,62381,14067,Bank Branch,0,0,126109,Snowy,3,44558,2022,11,November,4,48314,49.46593819632223,Normal
ATM_0029,2023-03-29,Wednesday,Afternoon,50315,11620,Supermarket,0,0,97397,Rainy,5,50242,2023,3,March,1,38695,51.65970204421081,Normal
ATM_0006,2022-10-18,Tuesday,Evening,37726,20461,Mall,0,0,79879,Rainy,5,22401,2022,10,October,4,17265,47.2289337623155,Normal
ATM_0020,2022-08-19,Friday,Afternoon,31787,13120,Bank Branch,0,0,112566,Rainy,3,16785,2022,8,August,3,18667,28.23854449833875,Normal
ATM_0040,2022-03-16,Wednesday,Night,51137,6614,Gas Station,0,0,119502,Rainy,5,44393,2022,3,March,1,44523,42.79175243928972,Normal
ATM_0045,2023-01-29,Sunday,Night,47794,12064,Gas Station,0,0,88725,Clear,0,43412,2023,1,January,1,35730,53.86756832910679,Normal
ATM_0050,2023-03-12,Sunday,Afternoon,53674,7465,Bank Branch,0,0,90579,Cloudy,0,37345,2023,3,March,1,46209,59.25656057143488,Normal
ATM_0036,2022-09-13,Tuesday,Morning,53480,2759,Gas Station,0,0,71850,Cloudy,5,57485,2022,9,September,3,50721,74.43284620737649,High Risk
ATM_0034,2023-07-27,Thursday,Evening,39223,8932,Gas Station,0,0,106218,Cloudy,4,29520,2023,7,July,3,30291,36.92688621514244,Normal
ATM_0029,2022-06-12,Sunday,Night,72130,9904,Gas Station,0,0,79949,Rainy,5,50758,2022,6,June,2,62226,90.22001525972809,Normal
ATM_0018,2023-06-18,Sunday,Night,54840,5863,Bank Branch,0,0,110386,Clear,5,60947,2023,6,June,2,48977,49.68021307049807,Normal
ATM_0019,2022-08-29,Monday,Evening,72991,13450,Standalone,0,0,91975,Clear,1,51718,2022,8,August,3,59541,79.35960858929056,Normal
ATM_0010,2022-08-25,Thursday,Night,53361,10062,Bank Branch,0,0,101953,Clear,3,55715,2022,8,August,3,43299,52.33882279089384,Normal
ATM_0027,2022-12-05,Monday,Night,38404,17255,Gas Station,0,0,119185,Cloudy,3,23663,2022,12,December,4,21149,32.22217560934681,Normal
ATM_0050,2023-08-22,Tuesday,Morning,63084,10916,Supermarket,0,0,143796,Clear,2,50981,2023,8,August,3,52168,43.870483184511386,Normal
ATM_0020,2023-02-04,Saturday,Night,37875,0,Supermarket,0,0,89484,Rainy,3,39142,2023,2,February,1,37875,42.32600241383935,Normal
ATM_0015,2022-10-07,Friday,Night,55126,19380,Gas Station,0,0,119008,Snowy,5,47933,2022,10,October,4,35746,46.321255713901586,Normal
ATM_0044,2023-02-19,Sunday,Afternoon,41346,3398,Gas Station,0,1,136629,Clear,3,52332,2023,2,February,1,37948,30.26151109940057,Normal
ATM_0038,2023-08-01,Tuesday,Morning,67691,7654,Mall,0,0,65737,Rainy,3,73364,2023,8,August,3,60037,102.97245082677944,High Risk
ATM_0012,2022-02-21,Monday,Evening,70308,9427,Gas Station,0,0,124756,Cloudy,2,61910,2022,2,February,1,60881,56.35640770784571,Normal
ATM_0022,2023-01-24,Tuesday,Evening,50078,10234,Gas Station,1,0,90998,Clear,3,48309,2023,1,January,1,39844,55.03197872480714,Normal
ATM_0002,2023-07-07,Friday,Morning,59342,10601,Standalone,0,0,110288,Clear,5,44039,2023,7,July,3,48741,53.80639779486436,Normal
ATM_0003,2022-02-01,Tuesday,Afternoon,26988,16388,Bank Branch,0,0,106646,Rainy,1,12684,2022,2,February,1,10600,25.30615306715676,Normal
ATM_0009,2023-04-30,Sunday,Morning,38772,15896,Supermarket,0,1,101350,Cloudy,5,34170,2023,4,April,2,22876,38.255550074000986,Normal
ATM_0017,2023-01-13,Friday,Afternoon,46265,14857,Supermarket,0,0,112907,Clear,1,41031,2023,1,January,1,31408,40.976201652687614,Normal
ATM_0020,2022-04-21,Thursday,Morning,70529,15292,Standalone,0,0,64825,Cloudy,3,56498,2022,4,April,2,55237,108.79907443116082,High Risk
ATM_0046,2022-07-23,Saturday,Morning,45958,13587,Supermarket,0,0,130047,Rainy,0,33036,2022,7,July,3,32371,35.33953109260498,Normal
ATM_0045,2022-11-05,Saturday,Morning,51111,1483,Supermarket,0,0,98889,Snowy,4,48807,2022,11,November,4,49628,51.685222825592334,Normal
ATM_0028,2023-11-09,Thursday,Evening,18988,9554,Mall,0,0,73910,Snowy,0,10373,2023,11,November,4,9434,25.690704911378702,Normal
ATM_0027,2023-05-17,Wednesday,Morning,60045,11832,Gas Station,0,1,81202,Cloudy,5,51443,2023,5,May,2,48213,73.94522302406344,Normal
ATM_0010,2023-03-22,Wednesday,Afternoon,49059,14775,Supermarket,0,1,80285,Snowy,4,42331,2023,3,March,1,34284,61.106059662452516,Normal
ATM_0035,2023-05-11,Thursday,Night,57560,7348,Gas Station,0,0,84142,Snowy,2,46123,2023,5,May,2,50212,68.40816714601507,Normal
ATM_0016,2022-03-30,Wednesday,Evening,48394,4823,Gas Station,0,0,88927,Cloudy,4,44383,2022,3,March,1,43571,54.41991746038886,Normal
ATM_0040,2023-11-16,Thursday,Night,32031,6501,Standalone,0,0,104279,Snowy,1,30573,2023,11,November,4,25530,30.716635180621214,Normal
ATM_0032,2022-08-06,Saturday,Evening,48315,8895,Standalone,0,0,112283,Snowy,4,36839,2022,8,August,3,39420,43.02966611152178,Normal
ATM_0001,2023-06-14,Wednesday,Afternoon,61362,8624,Mall,0,0,53961,Cloudy,3,58361,2023,6,June,2,52738,113.71546116639794,High Risk
ATM_0036,2022-09-04,Sunday,Night,74674,8754,Gas Station,0,0,111531,Clear,0,68316,2022,9,September,3,65920,66.9535824120648,Normal
ATM_0019,2022-08-15,Monday,Night,54668,9360,Bank Branch,0,0,80889,Snowy,3,49566,2022,8,August,3,45308,67.58397309893806,Normal
ATM_0036,2023-06-28,Wednesday,Evening,38654,2888,Gas Station,0,1,87068,Snowy,2,37044,2023,6,June,2,35766,44.39518537235264,Normal
ATM_0045,2023-04-10,Monday,Evening,33776,18435,Standalone,0,0,117632,Clear,5,23870,2023,4,April,2,15341,28.7132752992383,Normal
ATM_0013,2022-11-20,Sunday,Morning,51160,5693,Supermarket,0,1,130462,Rainy,1,53551,2022,11,November,4,45467,39.2144839110239,Normal
ATM_0014,2023-05-11,Thursday,Evening,58083,5621,Supermarket,0,1,72344,Snowy,0,64058,2023,5,May,2,52462,80.28723874820302,High Risk
ATM_0013,2022-10-31,Monday,Afternoon,29021,12814,Standalone,0,0,86987,Clear,5,17148,2022,10,October,4,16207,33.36245645901111,Normal
ATM_0035,2022-05-10,Tuesday,Evening,42693,10242,Mall,0,1,83380,Snowy,5,38011,2022,5,May,2,32451,51.20292636123771,Normal
ATM_0009,2023-10-16,Monday,Night,46415,5462,Mall,0,0,88464,Snowy,3,35747,2023,10,October,4,40953,52.46767046482185,Normal
ATM_0031,2023-03-28,Tuesday,Evening,61330,10496,Bank Branch,0,1,115027,Snowy,3,63369,2023,3,March,1,50834,53.31791666304433,Normal
ATM_0008,2022-03-08,Tuesday,Night,40060,12852,Gas Station,0,0,84734,Clear,1,32198,2022,3,March,1,27208,47.27736209785918,Normal
ATM_0010,2023-07-31,Monday,Evening,22926,11298,Mall,0,1,81913,Clear,4,19055,2023,7,July,3,11628,27.988231416258714,Normal
ATM_0049,2023-03-03,Friday,Afternoon,49008,3944,Supermarket,0,0,86963,Cloudy,2,43567,2023,3,March,1,45064,56.355001552384344,Normal
ATM_0038,2023-03-16,Thursday,Evening,50710,15031,Supermarket,0,0,88462,Clear,1,33095,2023,3,March,1,35679,57.32404874409352,Normal
ATM_0041,2022-08-05,Friday,Evening,57947,17207,Mall,0,0,50567,Rainy,4,37843,2022,8,August,3,40740,114.59449838827693,Normal
ATM_0005,2022-06-10,Friday,Morning,38046,11855,Gas Station,0,0,87920,Cloudy,2,37715,2022,6,June,2,26191,43.27343039126479,Normal
ATM_0003,2022-08-26,Friday,Evening,51298,9221,Standalone,0,0,123355,Cloudy,0,35629,2022,8,August,3,42077,41.58566738275709,Normal
ATM_0044,2022-08-28,Sunday,Evening,53816,7561,Supermarket,0,0,91348,Rainy,3,39728,2022,8,August,3,46255,58.913167228620225,Normal
ATM_0008,2023-07-12,Wednesday,Afternoon,54346,20377,Bank Branch,0,1,117422,Rainy,0,40499,2023,7,July,3,33969,46.28263868780978,Normal
ATM_0004,2022-06-19,Sunday,Evening,45109,0,Supermarket,0,0,79838,Snowy,3,44435,2022,6,June,2,45109,56.500663844284674,Normal
ATM_0008,2023-04-25,Tuesday,Evening,50276,18382,Gas Station,0,1,106538,Cloudy,3,40754,2023,4,April,2,31894,47.19067375021119,Normal
ATM_0006,2023-09-05,Tuesday,Morning,46713,11178,Gas Station,0,0,115417,Snowy,0,28712,2023,9,September,3,35535,40.47324051049672,Normal
ATM_0006,2022-08-23,Tuesday,Morning,27821,15718,Standalone,0,0,106769,Rainy,3,17105,2022,8,August,3,12103,26.057188884414018,Normal
ATM_0034,2023-10-30,Monday,Night,43770,10909,Standalone,0,0,104964,Cloudy,5,30516,2023,10,October,4,32861,41.70001143249114,Normal
ATM_0032,2022-04-04,Monday,Night,62455,5719,Standalone,0,0,101431,Snowy,5,63645,2022,4,April,2,56736,61.573877808559516,Normal
ATM_0007,2022-06-14,Tuesday,Evening,42835,15187,Gas Station,0,0,89799,Snowy,5,22142,2022,6,June,2,27648,47.700976625574896,Normal
ATM_0026,2023-07-18,Tuesday,Morning,45951,5106,Gas Station,0,0,91114,Snowy,2,36577,2023,7,July,3,40845,50.43242531334372,Normal
ATM_0008,2023-02-18,Saturday,Morning,55659,14348,Supermarket,0,0,127112,Clear,1,48909,2023,2,February,1,41311,43.787368619799864,Normal
ATM_0034,2023-01-06,Friday,Night,38393,3776,Gas Station,0,0,64425,Rainy,2,34133,2023,1,January,1,34617,59.59332557237097,Normal
ATM_0036,2022-05-15,Sunday,Evening,72440,11399,Gas Station,0,0,77490,Cloudy,0,63426,2022,5,May,2,61041,93.48303006839592,High Risk
ATM_0002,2023-10-08,Sunday,Afternoon,51640,13628,Bank Branch,0,0,109620,Clear,4,48067,2023,10,October,4,38012,47.108191935778144,Normal
ATM_0027,2022-04-06,Wednesday,Afternoon,53358,19410,Mall,0,0,126908,Clear,5,34886,2022,4,April,2,33948,42.044630756138304,Normal
ATM_0010,2023-05-26,Friday,Evening,35155,9371,Supermarket,0,0,101114,Cloudy,3,29883,2023,5,May,2,25784,34.76768795616829,Normal
ATM_0031,2022-09-07,Wednesday,Night,66412,9209,Supermarket,0,0,91462,Rainy,4,69831,2022,9,September,3,57203,72.61157639238154,Normal
ATM_0033,2022-05-20,Friday,Morning,34818,1725,Standalone,0,0,116463,Cloudy,2,31516,2022,5,May,2,33093,29.896190206331624,Normal
ATM_0033,2022-10-01,Saturday,Morning,51099,8321,Standalone,0,0,133380,Cloudy,1,39427,2022,10,October,4,42778,38.31084120557805,Normal
ATM_0029,2023-07-06,Thursday,Night,46313,8636,Standalone,0,0,46062,Cloudy,3,48115,2023,7,July,3,37677,100.54491771959533,Normal
ATM_0021,2022-07-13,Wednesday,Afternoon,49185,19244,Supermarket,0,0,122531,Cloudy,0,23599,2022,7,July,3,29941,40.14086231239442,Normal
ATM_0021,2023-04-30,Sunday,Night,45966,4467,Gas Station,0,1,151467,Rainy,3,41097,2023,4,April,2,41499,30.34720434153974,Normal
ATM_0003,2022-05-10,Tuesday,Evening,50888,10990,Mall,0,0,97112,Cloudy,0,38343,2022,5,May,2,39898,52.40135101738199,Normal
ATM_0034,2023-04-13,Thursday,Morning,49508,7282,Bank Branch,0,0,85743,Rainy,0,49672,2023,4,April,2,42226,57.73999043653709,Normal
ATM_0031,2022-09-29,Thursday,Evening,51596,0,Supermarket,0,0,121830,Clear,2,49547,2022,9,September,3,51596,42.35081671181154,Normal
ATM_0044,2023-07-01,Saturday,Night,44859,8142,Standalone,0,0,71849,Cloudy,4,41707,2023,7,July,3,36717,62.43510696043091,Normal
ATM_0003,2023-09-25,Monday,Morning,38332,14678,Bank Branch,0,0,125431,Snowy,1,22113,2023,9,September,3,23654,30.56022833270882,Normal
ATM_0048,2022-04-03,Sunday,Night,60825,4354,Mall,0,0,89509,Clear,3,61845,2022,4,April,2,56471,67.95406048553777,Normal
ATM_0011,2023-12-12,Tuesday,Evening,57340,8798,Mall,0,0,92503,Clear,2,54274,2023,12,December,4,48542,61.98717879420127,Normal
ATM_0023,2023-01-19,Thursday,Night,44585,15796,Bank Branch,0,0,78378,Cloudy,4,25918,2023,1,January,1,28789,56.88458496006532,Normal
ATM_0044,2022-07-04,Monday,Afternoon,59239,11630,Bank Branch,0,0,74977,Cloudy,4,46371,2022,7,July,3,47609,79.00956293263268,Normal
ATM_0044,2022-09-04,Sunday,Night,42159,15245,Supermarket,0,0,85913,Cloudy,5,34015,2022,9,September,3,26914,49.07173536018996,Normal
ATM_0017,2023-04-16,Sunday,Evening,28873,3597,Mall,0,0,135095,Cloudy,2,26891,2023,4,April,2,25276,21.372367593175174,Normal
ATM_0044,2023-07-14,Friday,Afternoon,53165,9516,Mall,0,0,89101,Snowy,4,53923,2023,7,July,3,43649,59.66824165834278,Normal
ATM_0020,2023-10-17,Tuesday,Night,55987,10571,Standalone,0,0,103006,Snowy,1,48907,2023,10,October,4,45416,54.353144477020756,Normal
ATM_0025,2023-05-10,Wednesday,Morning,54617,1449,Bank Branch,0,0,73036,Snowy,4,45408,2023,5,May,2,53168,74.78092995235227,Normal
ATM_0019,2023-12-18,Monday,Evening,61148,10092,Mall,0,1,106951,Cloudy,2,53697,2023,12,December,4,51056,57.173845966844624,Normal
ATM_0001,2023-08-03,Thursday,Morning,52937,5108,Supermarket,0,0,108165,Snowy,1,51470,2023,8,August,3,47829,48.94096981463505,Normal
ATM_0039,2022-12-27,Tuesday,Afternoon,24461,11280,Bank Branch,0,0,119653,Rainy,5,16053,2022,12,December,4,13181,20.443281823272297,Normal
ATM_0007,2023-10-05,Thursday,Morning,22386,3602,Standalone,0,0,87503,Clear,4,16267,2023,10,October,4,18784,25.583122864358938,Normal
ATM_0024,2022-05-15,Sunday,Morning,50391,10933,Standalone,0,0,84892,Cloudy,1,37663,2022,5,May,2,39458,59.35895019554257,Normal
ATM_0013,2022-05-16,Monday,Evening,36151,3241,Supermarket,0,0,80482,Snowy,1,34719,2022,5,May,2,32910,44.91811833701946,Normal
ATM_0017,2023-05-09,Tuesday,Evening,65804,12466,Standalone,0,0,103696,Cloudy,0,64352,2023,5,May,2,53338,63.458571208146886,Normal
ATM_0010,2022-08-20,Saturday,Night,41365,10610,Supermarket,0,0,151201,Cloudy,0,29227,2022,8,August,3,30755,27.35762329614222,Normal
ATM_0017,2023-07-04,Tuesday,Morning,48559,9825,Gas Station,0,0,135416,Snowy,4,45169,2023,7,July,3,38734,35.85913038341112,Normal
ATM_0025,2023-10-16,Monday,Evening,60616,7187,Mall,0,0,112648,Cloudy,0,49376,2023,10,October,4,53429,53.81009871457994,Normal
ATM_0040,2023-07-29,Saturday,Evening,64588,6364,Supermarket,0,0,95049,Clear,5,71752,2023,7,July,3,58224,67.95231933002978,Normal
ATM_0030,2023-12-19,Tuesday,Evening,48883,13103,Gas Station,0,0,103554,Clear,0,44826,2023,12,December,4,35780,47.20532282673774,Normal
ATM_0020,2023-05-20,Saturday,Morning,29969,12798,Mall,0,0,121615,Rainy,3,20440,2023,5,May,2,17171,24.64251942605764,Normal
ATM_0030,2023-01-15,Sunday,Night,48947,1695,Supermarket,0,0,108592,Rainy,3,41364,2023,1,January,1,47252,45.07422277884191,Normal
ATM_0042,2022-04-12,Tuesday,Night,53115,4594,Supermarket,0,0,121063,Snowy,0,57604,2022,4,April,2,48521,43.87385080495279,Normal
ATM_0045,2023-01-15,Sunday,Afternoon,49406,13407,Gas Station,0,0,100566,Rainy,2,33570,2023,1,January,1,35999,49.12793588290277,Normal
ATM_0007,2023-12-04,Monday,Evening,50446,10480,Supermarket,0,1,90754,Snowy,0,46126,2023,12,December,4,39966,55.585428741432885,Normal
ATM_0026,2022-10-10,Monday,Afternoon,53332,7606,Mall,0,1,125115,Cloudy,0,46057,2022,10,October,4,45726,42.626383726971184,Normal
ATM_0043,2022-08-06,Saturday,Morning,36580,17234,Mall,0,0,103931,Rainy,1,19917,2022,8,August,3,19346,35.19642839961128,Normal
ATM_0037,2022-07-30,Saturday,Morning,54005,14448,Supermarket,0,0,101645,Rainy,1,50495,2022,7,July,3,39557,53.130995130109696,Normal
ATM_0022,2022-06-01,Wednesday,Morning,65982,7413,Standalone,0,0,128186,Rainy,1,59418,2022,6,June,2,58569,51.473639867068165,Normal
ATM_0035,2022-09-14,Wednesday,Afternoon,43317,17266,Mall,0,0,131591,Clear,1,29204,2022,9,September,3,26051,32.917904719927655,Normal
